Country,Military Stockpile,Retired Weapons,Total Inventory,Total nuclear tests,First tested,Most recent test
 Russia,"4,477.00","1,500.00","5,977.00",715.00,Aug-49,Oct-90
 United States,"3,708.00","1,720.00","5,428.00","1,030.00",Jul-45,Sep-92
 France,290.00,0.00,290.00,210.00,Feb-60,Jan-96
 China,350.00,0.00,350.00,45.00,Oct-64,Jul-96
 United Kingdom,180.00,45.00,225.00,45.00,Oct-52,Nov-91
 Israel,90.00,0.00,90.00,0.00,Not yet,Not yet
 Pakistan,165.00,0.00,165.00,2.00,May-98,May-98
 India,160.00,0.00,160.00,3.00,May-74,May-98
 North Korea,20.00,0.00,20.00,6.00,Oct-06,Sep-17
Total,"9,440.00","3,265.00","12,705.00","2,056.00",,